Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
0,4.404,0.678,2.1887,40.1709,100.0,0.01
0,4.34,0.684,2.46776,30.7216,100.0,0.01
1,4.171,0.681,2.42108,31.9588,100.0,0.01
0,5.13,1.365,2.09008,44.7619,100.0,0.01
1,4.289,0.852,2.08414,41.9048,100.0,0.01
2,4.394,0.887,2.25818,46.9048,100.0,0.01
3,4.417,0.896,1.7921,44.5238,100.0,0.01
4,4.38,0.88,1.76248,50.4762,100.0,0.01
0,4.362,0.719,2.3624,36.5044,100.0,0.01
1,4.382,0.86,2.77287,22.5664,100.0,0.01
2,4.297,0.806,2.27888,24.115,100.0,0.01
3,4.241,0.806,2.21875,20.7965,100.0,0.01
4,4.255,0.801,1.76264,23.6726,100.0,0.01
5,4.29,0.825,1.8656,25.2212,100.0,0.01
6,4.248,0.805,1.87502,27.6549,100.0,0.01
7,4.251,0.801,1.47826,34.0708,100.0,0.001
8,4.261,0.812,1.46597,33.6283,100.0,0.001
9,4.246,0.8,1.43959,38.0531,100.0,0.001
10,4.276,0.819,1.46684,35.3982,100.0,0.001
11,4.291,0.829,1.42203,36.0619,100.0,0.001
12,4.193,0.815,1.40533,38.2743,100.0,0.001
13,4.076,0.729,1.46166,37.3894,100.0,0.001
14,4.799,0.943,1.41514,36.2832,100.0,0.001
15,4.824,1.015,1.4135,38.7168,100.0,0.0001
